Date,Time,Open,High,Low,Close,Volume
2013.11.20,0:00,0.94394,0.944,0.9315,0.93284,63848
2013.11.21,0:00,0.93287,0.93324,0.91976,0.92271,73268
2013.11.22,0:00,0.92272,0.92483,0.91421,0.9169,53849
2013.11.24,0:00,0.91627,0.91781,0.91612,0.91638,3483
2013.11.25,0:00,0.91638,0.91948,0.9119,0.91946,56990
2013.11.26,0:00,0.91948,0.92031,0.9087,0.91185,62935
2013.11.27,0:00,0.91186,0.91361,0.90641,0.90818,58620
2013.11.28,0:00,0.90819,0.91482,0.90631,0.90778,53255
2013.11.29,0:00,0.90778,0.91397,0.90544,0.91064,54581
2013.12.01,0:00,0.91266,0.91296,0.91058,0.91193,3243
2013.12.02,0:00,0.91192,0.9167,0.90881,0.91135,59483
2013.12.03,0:00,0.91136,0.91449,0.9056,0.91304,64361
2013.12.04,0:00,0.91307,0.91366,0.89976,0.903,77402
2013.12.05,0:00,0.903,0.90761,0.9002,0.90641,72305
2013.12.06,0:00,0.9064,0.91164,0.89889,0.9101,62402
2013.12.08,0:00,0.91194,0.91257,0.91021,0.91028,3947
2013.12.09,0:00,0.91028,0.91282,0.90689,0.90875,61109
2013.12.10,0:00,0.90875,0.91657,0.90794,0.91443,62312
2013.12.11,0:00,0.91441,0.91513,0.90341,0.90445,63730
2013.12.12,0:00,0.90445,0.90809,0.89122,0.89209,78967
2013.12.13,0:00,0.8921,0.8968,0.89082,0.89643,53585
2013.12.15,0:00,0.89575,0.89617,0.89463,0.89495,2412
2013.12.16,0:00,0.89492,0.89685,0.89198,0.89391,57848
2013.12.17,0:00,0.89391,0.89571,0.8881,0.89185,62842
2013.12.18,0:00,0.89186,0.8943,0.88197,0.8843,65415
2013.12.19,0:00,0.8843,0.88741,0.88218,0.88599,65077
2013.12.20,0:00,0.88599,0.89324,0.8854,0.89186,57114
2013.12.22,0:00,0.89221,0.89235,0.89156,0.89202,2199
2013.12.23,0:00,0.89201,0.89572,0.89178,0.89298,44271
2013.12.24,0:00,0.89297,0.89324,0.89051,0.89208,26552
2013.12.26,0:00,0.88869,0.89022,0.88747,0.88844,30142
2013.12.27,0:00,0.88844,0.89278,0.88612,0.88672,54106
2013.12.29,0:00,0.88627,0.88653,0.88446,0.88522,2632
2013.12.30,0:00,0.88516,0.89287,0.88322,0.8921,49703
2013.12.31,0:00,0.89208,0.89513,0.89103,0.89432,35001
2014.01.02,0:00,0.89091,0.89423,0.88421,0.89045,58368
2014.01.03,0:00,0.89046,0.90038,0.88841,0.89455,72360
